bdd-conformance	success	steps: 7 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Fetch the processor model inputs | Install behave | Run the specification-facing suite | Post Run actions/checkout@v4 | Complete job
changes	success	steps: 5 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Classify the change conservatively | Post Run actions/checkout@v4 | Complete job
verilator-lint	success	steps: 9 ran, 1 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Cache the pinned Verilator build | Run the ratcheted whole-tree lint gate | Prove protocol-processor source lists are derived | Post Cache the pinned Verilator build | Post Run actions/checkout@v4 | Complete job
yosys-elaboration	success	steps: 13 ran, 1 skipped; Set up job | Run actions/checkout@v4 | Fetch RTL dependencies | Cache the pinned Yosys build | Install the pinned Yosys and prove the version | Install the pinned sv2v release | Elaborate the integration-heavy tops | Prove the OOC read sets come from run.sh and refuse a bad one | Prove ooc.sh generates the ROMs and fails on a failed top | Prove the result cache refuses a planted entry | Post Cache the pinned Yosys build | Post Run actions/checkout@v4 | Complete job
rtl-fast	success	steps: 3 ran, 0 skipped; Set up job | Require every applicable fast gate to pass | Complete job
elaborate	success	steps: 28 ran, 1 skipped; Set up job | Run actions/checkout@v4 | Decide whether this head needs an elaboration | Fetch the source dependencies the elaboration reads | Install the pinned sv2v release | Run actions/setup-python@v5 | Cache the pinned pip downloads | Install LiteX at the pinned revisions | Cache the Scala toolchain | Cache the generated CPU metadata | Install sbt | Place the VexiiRiscv source at the revision LiteX pins | Apply the toolchain patch series | Cache the pinned RV32 SDK | Install and verify the pinned RV32 SDK | Elaboration gates | Cache the pinned Verilator build | Put Verilator on PATH and prove the version | Standalone LiteX simulation aggregate | Keep the generated CPU netlist arguments for the next run | Post Cache the pinned Verilator build | Post Cache the pinned RV32 SDK | Post Cache the generated CPU metadata | Post Cache the Scala toolchain | Post Cache the pinned pip downloads | Post Run actions/setup-python@v5 | Post Run actions/checkout@v4 | Complete job
wire-accountability	success	steps: 6 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Fetch the engine authority the builder derives from | Advertised-vs-emitted gate (green since 2026-07-28, item 00) | Post Run actions/checkout@v4 | Complete job
docs-check-no-git	success	steps: 5 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Strip git metadata, then run the docs gate | Post Run actions/checkout@v4 | Complete job
docs-check	success	steps: 51 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Build the validated HDL reference | Upload the HDL reference HTML | Install the python gate dependencies | Install diagram gate dependencies | Link health, wording, dead-reference and local-info gate | Added-line em-dash gate | Concise audience documentation gate | Audience diagram no-drift gate | Product solution source-fact gate | Verified submodule documentation gate | HDL timing diagram no-drift gate | Published diagram PNG gate | Milan feature-status consistency gate | Traceability matrix no-drift gate | Fetch the builder source dependencies | Imported gPTP documentation gate | Code-quality measurement self-tests | Install the pinned sv2v release | Bare-metal scope gate | Cache the pinned RV32 SDK | Install and verify the pinned RV32 SDK | Compiler-absent firmware controls | End-station builder gates | NVM record-space gate | Saved-state writer gate | SoC source-list gate (Vivado would fail 40 min in without this) | RTL source-list drift gate | Boundary-unit naming ratchet | Port contract gate | Fail-fast ratchet | TODO ownership gate | Test-evidence ratchet | Mechanical hygiene ratchet | SystemVerilog idiom gate | C and C++ idiom gate | Python idiom gate | Shell idiom gate | CI event and SHA contract gate | Local act runner contract gate | Doc cited-path gate | Archive integrity gate | Per-page contents gate | AEM store generator self-test | Sweep/build shape gate | Deploy shape gate | Entity shape gate | Post Cache the pinned RV32 SDK | Post Run actions/checkout@v4 | Complete job
full-ci-gate	success	steps: 8 ran, 0 skipped; Set up job | Run actions/checkout@v4 | Print the event and pin the one SHA this run validates | Assert the repository default branch is dev | Hold every workflow file to its contract | Decide whether this exact head needs the exhaustive gates | Post Run actions/checkout@v4 | Complete job
