526	Isolate gPTP mutations and stop suite execution on cancellation	True	True
525	Pin RTL workflow script content and checkout SHA assertion	True	True
522	Bind Yosys cache evidence to generated ROM bytes	True	True
521	Run hosted firmware gates with a verified pinned RV32 compiler	True	False
519	Prove retained replay across one exact redundant merge	False	False
518	Bind AXI stream assertions to the round-robin mux	True	False
513	Repair and run the AEM store generator self-test in CI	True	True
512	fix(builder): bound AUDIO_UNIT sampling rates to the PP contract	False	False
507	Align Markdown block closers with rendered headings	False	False
505	Pin all non-RTL carrier scripts and mutation controls	False	False
503	[A154] Propose saved-state materialization and staged restore ownershi	True	False
499	[A149] AVB_INTERFACE port_number follows the gPTP engine and the Ident	False	False
498	[A147] Preserve boot text checks and add compiler-backed boot-word val	False	False
497	[A148] Pin the processor's NVM exports, wire the saved-state pending b	False	False
492	[A145] Give the fabric gPTP plane per-board ingress and egress timesta	False	False
491	[A144] Implement the saved-state snapshot ownership contract: capture 	False	False
486	[A143] Read the processor's per-source and per-sink SRP words into LWS	False	False
485	[A142] Pin the protocol processor at its merged SET_SAMPLING_RATE list	False	False
481	[A141] Fail the build when an IOB TRUE port did not pack (#475)	True	True
480	[A140] Run milan_dp alone on a fifth Verilator worker under a measured	True	True
476	[A138] Pin the protocol processor at its merged GET_TX_STATE Listener-	True	True
474	[A137] Drive the TDM bit-clock pin from a packable flop that copies a 	True	True
470	[A135] Add the proposed saved-state snapshot ownership contract page (	True	True
468	[A134] Run the deploy-shape gate in docs-check and pin its step (#466)	True	True
461	[A132] Quiet containment self-test git and give cleanup its own exit c	True	True
460	[A131] Declare descriptor names, locale, vendor OUI and entity capabil	True	True
459	[A130] Generate the CRF boot word and NVM waits, drop the ADP_CAPS wri	True	True
458	[A129] Drive the declared media clock and TDM slot width into elaborat	True	True
457	[A128] Add a parameter-gated PPS output to the PTP hardware clock (#26	True	True
456	[A127] Derive deploy.sh build shape from the generated fragment (#453)	True	True
455	[A126] Document the expected first-boot restart after flash-pair (#366	True	True
454	[A125] TDM8 master: launch FSYNC on the BCLK falling edge	True	True
450	Observe gPTP egress at the MAC launch and return each frame's own time	True	False
449	Render the shipping TDM8 listener onto its serial pins through a maste	True	True
446	Record build and simulation phases in the render mutation controls	False	False
436	Expose the media-boundary slip counters and retire the prefill overrid	True	True
435	Hold the TDM render path at a constant setpoint latency	True	True
434	Advertise only the clock sources the fabric follows	True	True
433	Source build.sh design argv from the generated artefact	True	False
432	Close the origin probe's call, value and eval channels	False	False
