1	success	Set up job
2	success	Run actions/checkout@v4
3	success	Build the validated HDL reference
4	success	Upload the HDL reference HTML
5	success	Install the python gate dependencies
6	success	Cache the pinned Markdown renderer downloads
7	success	Install the pinned Markdown renderer
8	success	Install diagram gate dependencies
9	success	Link health, wording, dead-reference and local-info gate
10	success	Added-line em-dash gate
11	success	Concise audience documentation gate
12	success	Audience diagram no-drift gate
13	success	Product solution source-fact gate
14	success	Verified submodule documentation gate
15	success	HDL timing diagram no-drift gate
16	success	Published diagram PNG gate
17	success	Milan feature-status consistency gate
18	success	Traceability matrix no-drift gate
19	success	Fetch the builder source dependencies
20	success	Imported gPTP documentation gate
21	success	Code-quality measurement self-tests
22	success	Install the pinned sv2v release
23	success	Bare-metal scope gate
24	success	Cache the pinned RV32 SDK
25	success	Install and verify the pinned RV32 SDK
26	success	Compiler-absent firmware controls
27	success	End-station builder gates
28	success	NVM record-space gate
29	failure	Capture measurement census and clock gate
30	skipped	Saved-state writer gate
31	skipped	SoC source-list gate (Vivado would fail 40 min in without this)
32	skipped	RTL source-list drift gate
33	skipped	Boundary-unit naming ratchet
34	skipped	Port contract gate
35	skipped	Fail-fast ratchet
36	skipped	TODO ownership gate
37	skipped	Test-evidence ratchet
38	skipped	Mechanical hygiene ratchet
39	skipped	SystemVerilog idiom gate
40	skipped	C and C++ idiom gate
41	skipped	Python idiom gate
42	skipped	Shell idiom gate
43	skipped	CI event and SHA contract gate
44	skipped	Local act runner contract gate
45	skipped	Doc cited-path gate
46	skipped	Archive integrity gate
47	skipped	Per-page contents gate
48	skipped	AEM store generator self-test
49	skipped	Sweep/build shape gate
50	skipped	Deploy shape gate
51	skipped	Entity shape gate
100	skipped	Post Cache the pinned RV32 SDK
101	skipped	Post Cache the pinned Markdown renderer downloads
102	success	Post Run actions/checkout@v4
103	success	Complete job
