t-9912748d	01	0	python3 scripts/ci_events.py --check	ci_events: OK (1589 contract item(s) across 4 workflow files and docs/testing/CI_WORKFLOWS.md)
t-9912748d	02	2	python3 scripts/check_py_idiom.py	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-9912748d	03	2	python3 scripts/check_sh_idiom.py	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-9912748d	04	2	python3 scripts/check_hygiene.py --check	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-9912748d	05	2	python3 scripts/measure_fail_fast.py --check	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-9912748d	06	2	python3 scripts/measure_test_evidence.py --check	REFUSED: suite entry protocol-processor/scripts/run_suites.sh is missing, so which targets the protocol-processor/tb suites execute cannot be established
t-9912748d	07	2	python3 scripts/check_todo_ownership.py	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-9912748d	08	0	python3 scripts/gen_toc.py --check	TOC gate: OK (106 page(s) carry an annotated contents list, 17 below the 3-section threshold)
t-d253f86e	01	0	python3 scripts/ci_events.py --check	ci_events: OK (1513 contract item(s) across 4 workflow files and docs/testing/CI_WORKFLOWS.md)
t-d253f86e	02	2	python3 scripts/check_py_idiom.py	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-d253f86e	03	2	python3 scripts/check_sh_idiom.py	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-d253f86e	04	2	python3 scripts/check_hygiene.py --check	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-d253f86e	05	2	python3 scripts/measure_fail_fast.py --check	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-d253f86e	06	2	python3 scripts/measure_test_evidence.py --check	REFUSED: suite entry protocol-processor/scripts/run_suites.sh is missing, so which targets the protocol-processor/tb suites execute cannot be established
t-d253f86e	07	2	python3 scripts/check_todo_ownership.py	REFUSED: project submodules must be initialized at their pinned commits before a code-quality scan (-c1b617435824929a790739ea8585c3fe1a328cc0 gptp-processor; -424c688fa2205b934a7689a58f2aa766420f2326 protocol-processor); run `git submodule update --init protocol-processor gptp-processor`
t-d253f86e	08	0	python3 scripts/gen_toc.py --check	TOC gate: OK (105 page(s) carry an annotated contents list, 17 below the 3-section threshold)
