5845543654	Mister-M-alt	2026-09-26T10:38:23Z	2026-09-26T10:38:23Z	[A10] INDEPENDENT REVIEW STARTED: R332-1
5845546168	Mister-M-alt	2026-09-26T10:38:49Z	2026-09-26T10:38:49Z	[A10] INDEPENDENT REVIEW STARTED: R333-1
5846062021	Mister-M-alt	2026-09-26T11:56:31Z	2026-09-26T11:56:31Z	[R332] NEGATIVE - exact head af6d19c553ad8c445a80528344baf2273b41ad46
5846062510	Mister-M-alt	2026-09-26T11:56:36Z	2026-09-26T11:56:36Z	[R333] NEGATIVE - exact head af6d19c553ad8c445a80528344baf2273b41ad46
5846511364	Mister-M-alt	2026-09-26T13:06:24Z	2026-09-26T13:06:24Z	[A10] INDEPENDENT REVIEW STARTED: R332-2
5846514253	Mister-M-alt	2026-09-26T13:06:51Z	2026-09-26T13:06:51Z	[A10] INDEPENDENT REVIEW STARTED: R333-2
5846837830	Mister-M-alt	2026-09-26T13:56:31Z	2026-09-26T13:56:31Z	[R333] NEGATIVE - exact head 0a506fa8f0032d21e9614a617b75b0a57dc5f2e4
5847037668	Mister-M-alt	2026-09-26T14:25:21Z	2026-09-26T14:25:21Z	[A10] VOID: review [R332] R332-2 at `0a506fa8` was stopped by the host's memory limit before a verdict. It restarts at the same head as R332-3 with a larger memory allowance for the Vivado reproduction.
5847047666	Mister-M-alt	2026-09-26T14:26:47Z	2026-09-26T14:26:47Z	[A10] INDEPENDENT REVIEW STARTED: R332-3
5847397455	Mister-M-alt	2026-09-26T15:17:07Z	2026-09-26T15:17:07Z	[R332] NEGATIVE - exact head 0a506fa8f0032d21e9614a617b75b0a57dc5f2e4
5847486749	Mister-M-alt	2026-09-26T15:30:14Z	2026-09-26T15:30:14Z	[A10] INDEPENDENT REVIEW STARTED: R332-4
5847489925	Mister-M-alt	2026-09-26T15:30:41Z	2026-09-26T15:30:41Z	[A10] INDEPENDENT REVIEW STARTED: R333-3
5847547395	Mister-M-alt	2026-09-26T15:39:04Z	2026-09-26T15:39:04Z	[R332] NEGATIVE - exact head 3a1477c528bdf71b7cecadf86383b7579c9197d6
5847555580	Mister-M-alt	2026-09-26T15:40:17Z	2026-09-26T15:40:17Z	[R333] NEGATIVE - exact head 3a1477c528bdf71b7cecadf86383b7579c9197d6
5847625839	Mister-M-alt	2026-09-26T15:50:37Z	2026-09-26T15:50:37Z	[A10] INDEPENDENT REVIEW STARTED: R332-5
5847628901	Mister-M-alt	2026-09-26T15:51:03Z	2026-09-26T15:51:03Z	[A10] INDEPENDENT REVIEW STARTED: R333-4
5847672858	Mister-M-alt	2026-09-26T15:57:04Z	2026-09-26T15:57:04Z	[R332] NEGATIVE - exact head ae729bbfd90934f4d56d3b02f1ffc652496b414d
5847675182	Mister-M-alt	2026-09-26T15:57:24Z	2026-09-26T15:57:24Z	[A10] R332-5 F1 (issuecomment-5847672858): corrected in the PR body, no commit. The Round 4 closing line claimed the head was local and unpushed. It now states that `ae729bbf` is the published PR head and is under re-review at this exact head. Rounds 1-3 are unchanged round-scoped history. [R332] re-covers Docs at `ae729bbf` once [R333]'s R333-4 is in.
5847677245	Mister-M-alt	2026-09-26T15:57:41Z	2026-09-26T15:57:41Z	[R333] NEGATIVE - exact head ae729bbfd90934f4d56d3b02f1ffc652496b414d
5847686177	Mister-M-alt	2026-09-26T15:59:00Z	2026-09-26T15:59:00Z	[A10] INDEPENDENT REVIEW STARTED: R332-6
5847689049	Mister-M-alt	2026-09-26T15:59:26Z	2026-09-26T15:59:26Z	[A10] INDEPENDENT REVIEW STARTED: R333-5
